document_id,date,url,media,replies,reblogs,favourites,content,about_iran,classification_reason,model
89,2022-10-10 02:02:53.716000+00:00,https://truthsocial.com/@realDonaldTrump/109141516203740062,N/A,189,3209,13750,“TRUMP PROCLAIMS SOLIDARITY WITH IRANIAN PROTESTERS: ‘WE ARE WITH YOU ALL’” https://www.rsbnetwork.com/news/trump-proclaims-solidarity-with-iranian-protesters-we-are-with-you-all/,True,Mentions Iranian protesters and Iran,openai/gpt-oss-20b
25,2022-10-25 17:52:29.145000+00:00,https://truthsocial.com/@realDonaldTrump/109230184801591592,N/A,455,3536,14668,https://www.breitbart.com/the-media/2022/10/24/nolte-election-denier-jake-tapper-crashes-burns-fredos-old-time-slot/,False,No mention of Iran or related topics,openai/gpt-oss-20b
84,2022-11-03 17:01:08.909000+00:00,https://truthsocial.com/@realDonaldTrump/109280943724401226,N/A,0,0,0,RT @mirandadevineColumn's up: How the government hid the truth behind Hunter Biden’s laptop https://nypost.com/2022/11/02/how-the-government-hid-the-truth-behind-hunter-bidens-laptop/?utm_campaign=iphone_nyp&amp;utm_source=pasteboard_app,False,No reference to Iran or Iranian actors,openai/gpt-oss-20b
49,2022-11-08 05:45:14.333000+00:00,https://truthsocial.com/@realDonaldTrump/109306597496368798,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/109/306/597/457/451/980/original/34b8c29fbb276ac4.jpg,546,3987,24412,"THANK YOU, OHIO!",False,No reference to Iran or related topics.,openai/gpt-oss-20b
11,2022-11-24 22:05:13.382000+00:00,https://truthsocial.com/@realDonaldTrump/109401047916858996,N/A,0,0,0,"RT @realDonaldTrumpWhat are they doing in Arizona about the large number of voting machines in Republican areas that just happened to be “BROKEN” on Election Day, with tens of thousands of voters, standing in line for hours, unable to vote. They left the voting lines in complete exasperation, unable to return. When “mechanics” went in to fix the machines, they got worse. Kari Lake couldn’t even vote in her own district. Voter fraud - DO THE ELECTION OVER, or declare Kari, Blake, Abe the winners. Act Fast!!!",False,No reference to Iran or Iranian topics,openai/gpt-oss-20b
50,2022-12-12 01:45:57.520000+00:00,https://truthsocial.com/@realDonaldTrump/109498175161395272,N/A,3413,15365,52111,"“This was ELECTION INTERFERENCE. THE DISINFORMATION WAS COMING FROM THE FBI AND FACEBOOK. IT WAS COMING FROM ADAM SCHIFF AND DEMOCRAT OPERATIVES. THIS WAS A VERY DAMAGING STORY TO BIDEN BEFORE THE ELECTION, AND THEY WERE GOING TO KILL IT.” BOTTOM LINE: THE ELECTION WAS RIGGED &amp; STOLEN! MIRANDA DEVINE AS INTERVIEWED BY MARK LEVIN. AMAZING!!!",False,No reference to Iran or Iranian actors,openai/gpt-oss-20b
6,2022-12-15 22:02:29.665000+00:00,https://truthsocial.com/@realDonaldTrump/109519945705979997,N/A,2939,7942,44467,TRUTH SOCIAL IS THE BEST!!!,False,No reference to Iran or related topics.,openai/gpt-oss-20b
44,2022-12-27 18:22:58.237000+00:00,https://truthsocial.com/@realDonaldTrump/109587030228208639,N/A,110,3100,12463,https://www.foxnews.com/video/6317361171112,False,The link does not provide any explicit indication that the content is about Iran.,openai/gpt-oss-20b
19,2023-02-22 00:30:03.557000+00:00,https://truthsocial.com/@realDonaldTrump/109905563061646623,N/A,363,4800,13241,https://www.thegatewaypundit.com/2023/02/breaking-sht-just-riddled-bugs-fox-news-filing-shows-dominion-knew-voting-systems-major-security-issues/,False,"The post discusses Dominion voting systems and Fox News filings, with no reference to Iran or Iranian actors.",openai/gpt-oss-20b
1,2023-03-10 05:10:10.268000+00:00,https://truthsocial.com/@realDonaldTrump/109997261472951327,N/A,0,0,0,RT @RonnyJacksonTXWhat the Manhattan district attorney is doing is DESPICABLE! They’ll do ANYTHING to stop Trump from getting back to the White House - but they’re going to FAIL. President Trump will WIN in 2024 and MAKE AMERICA GREAT AGAIN!!,False,No mention of Iran or related topics,openai/gpt-oss-20b
30,2023-04-30 16:57:00.950000+00:00,https://truthsocial.com/@realDonaldTrump/110288818729726096,N/A,55,1933,7731,https://twitter.com/loudobbs/status/1644316594598756356?s=42&amp;t=EDG421JAcKkWDZDtggG5yA,False,No reference to Iran or related topics,openai/gpt-oss-20b
27,2023-05-09 12:10:12.463000+00:00,https://truthsocial.com/@realDonaldTrump/110338651747465040,N/A,539,3979,17467,DeSanctimonious put off his announcement until June because his numbers are sooo BAD. He also got rid of his ridiculous “Exploratory Committee” because he didn’t like what they were telling him. MAGA!!!,False,No mention of Iran or related topics.,openai/gpt-oss-20b
39,2023-05-16 02:10:32.069000+00:00,https://truthsocial.com/@realDonaldTrump/110375929909629644,N/A,0,0,0,RT @FDRLSTBOMBSHELL: Obama Admin Had No ‘Actual Evidence’ Of Collusion By Trump When It Launched Crossfire Hurricane Investigationhttps://thefederalist.com/2023/05/15/bombshell-obama-admin-had-no-actual-evidence-of-collusion-by-trump-when-it-launched-crossfire-hurricane-investigation/,False,"The post discusses U.S. political investigations, with no reference to Iran or Iranian entities.",openai/gpt-oss-20b
